pl_name,hostname,pl_rade,pl_masse,pl_dens,pl_orbsmax,pl_orbper,st_mass,st_teff,st_rad,st_lum,pl_orbeccen,sy_dist,glon,glat,planet_type,hz_start_con,hz_end_con,hz_start_opt,hz_end_opt,in_hz,hz_dist,X_gal,Y_gal,Z_gal,pl_seff
CoRoT-23 b,CoRoT-23,11.77,889.9,3.0,0.048,3.6313,1.14,5900.0,1.61,0.4493484449501602,0.16,1060.97,35.41749,4.71959,Icy-Solid,1.2529783370049778,2.9450624297015904,1.623795476405545,2.8319641272933116,Too_hot,1.5757954764055448,861.7067670406475,612.7791008604515,87.29583085698951,1221.4226526141642
CoRoT-24 b,CoRoT-24,3.7,5.7,0.9,0.056,5.1134,0.91,4950.0,0.86,-0.4002936554607059,0.0,591.555,215.81744,-2.52763,Gas-giant,0.4892118267176299,1.202638832304577,0.6452269899678147,1.1564328305488776,Too_hot,0.5892269899678146,-479.21680915366363,-345.84385280034115,-26.08826038272749,126.86163097393478
CoRoT-24 c,CoRoT-24,5.0,28.0,1.3,0.098,11.759,0.91,4950.0,0.86,-0.4002936554607059,0.0,591.555,215.81744,-2.52763,Gas-giant,0.4892118267176299,1.202638832304577,0.6452269899678147,1.1564328305488776,Too_hot,0.5472269899678147,-479.21680915366363,-345.84385280034115,-26.08826038272749,41.424206032305236
CoRoT-25 b,CoRoT-25,12.11,85.81,0.15,0.0578,4.86069,1.09,6040.0,1.19,0.22753032358747263,0.0,1103.48,37.73014,4.94113,Gas-giant,0.9651969677857548,2.2548301945855536,1.24665352142377,2.168243769220147,Too_hot,1.1888535214237699,869.5008862274816,672.7575723688208,95.04508440753106,505.4458635678684
CoRoT-26 b,CoRoT-26,14.12,165.26,0.28,0.0526,4.20474,1.09,5590.0,1.79,0.4476419398233634,0.0,1045.18,37.74453,5.926,Gas-giant,1.2662464057414102,3.0186749258561107,1.6523800128103254,2.902733458841723,Too_hot,1.5997800128103254,822.057393527232,636.3793182766697,107.90846777215856,1013.1423079936154
CoRoT-27 b,CoRoT-27,11.287,3302.11,12.6,0.0476,3.57532,1.05,5900.0,1.08,0.10254420386036014,0.065,1010.28,35.89455,6.39649,Mega-Earth,0.8405072074319107,1.9755698286197003,1.0892541083962661,1.8997026443955132,Too_hot,1.041654108396266,813.3303093456014,588.6350607694417,112.55332750631557,558.8950953362666
CoRoT-28 b,CoRoT-28,10.704595,153.82972,0.69,0.0603,5.20851,1.01,5150.0,1.78,0.30035756710043576,0.047,766.183,36.01305,6.24131,Gas-giant,1.0876570418260367,2.6480268195171806,1.4306784458826156,2.546298987846216,Too_hot,1.3703784458826156,616.0791042987164,447.82209761950855,83.29643221143859,549.1904073049157
CoRoT-29 b,CoRoT-29,10.0881,270.1555,1.45,0.0386,2.85057,0.97,5260.0,0.9,-0.2552833581885103,0.082,806.507,36.92336,6.45872,Neptune-like,0.5712107831085184,1.3833058660485986,0.7500492257814997,1.330167148368914,Too_hot,0.7114492257814997,640.661640289001,481.43094337018607,90.7218302113638,372.85676951806573
CoRoT-30 b,CoRoT-30,11.309881,921.707,3.45,0.0844,9.06005,0.98,5650.0,0.91,-0.12143477776217494,0.007,1032.23,36.66096,7.77355,Mega-Earth,0.65603481854402,1.559590427083161,0.8550019756482143,1.4996912579281434,Too_hot,0.7706019756482143,820.427673117367,610.6587776651227,139.61756101494234,106.14030444333483
CoRoT-31 b,CoRoT-31,16.36514,266.9772,0.33,0.0586,4.62941,1.25,5700.0,2.15,0.64066498883906,0.02,2005.76,213.22491,-9.16321,Gas-giant,1.5743423902001341,3.734040112977207,2.049593902173525,3.5906301918810346,Too_hot,1.990993902173525,-1656.4589662999222,-1084.9852170056938,-319.4118805612905,1273.1212197426498
CoRoT-35 b,CoRoT-35,18.83108758,349.6112477,0.29,0.0429,3.22748,1.01,6390.0,1.65,0.6092599673792969,0.0,1123.21,33.40059,-7.00809,Gas-giant,1.4779389305134811,3.4037797993045213,1.8923806326451382,3.2730908608774114,Too_hot,1.8494806326451383,930.6974598577191,613.6956550067471,-137.04227574084146,2209.7613996896525
CoRoT-36 b,CoRoT-36,15.80466279,216.12331676,0.25,0.066,5.616531,1.32,6730.0,1.52,0.6280360791033363,0.0,925.958,37.04172,7.79576,Gas-giant,1.4924259653959857,3.3956606154017326,1.8949791759575025,3.265298200868715,Too_hot,1.8289791759575025,732.2661550654515,552.6385612075826,125.59903095196793,974.8733718299951
CoRoT-4 b,CoRoT-4,13.34,228.83,0.525,0.09,9.20205,1.16,6190.0,1.17,0.25542296589067903,0.0,726.412,213.22759,-0.89847,Gas-giant,0.9908742568469034,2.300270881714505,1.2750970375782598,2.2119448186758843,Too_hot,1.1850970375782597,-607.5693249141152,-398.00020560706133,-11.390588401980464,222.29922417475336
CoRoT-5 b,CoRoT-5,15.558,148.42,0.217,0.04947,4.0378962,1.0,6100.0,1.186,0.24177736441743944,0.09,882.472,211.48472,-1.0362,Gas-giant,0.9788474307192035,2.2808885209097167,1.2624290244988345,2.1933035831370793,Too_hot,1.2129590244988346,-752.4309449382438,-460.81430419518216,-15.958725903143096,713.0065897202844
CoRoT-6 b,CoRoT-6,13.068,940.74,2.32,0.0855,8.886593,1.05,6090.0,1.025,0.11220554763293147,0.1,645.294,38.06304,4.6158,Icy-Solid,0.843527498853489,1.9663999747762309,1.0881730397524805,1.8908909297891934,Too_hot,1.0026730397524806,506.41340879802556,396.5515831305055,51.92925709321822,177.1223306398808
CoRoT-7 b,CoRoT-7,1.68135,4.07660518,4.729236459761198,0.016483549983685435,0.85359163,0.82,5275.0,0.83,-0.3206653130510472,0.0,159.906,213.01042,-2.17853,Super-Earth,0.5294778234894507,1.2813141197418882,0.6950754635939231,1.2320937181335412,Too_hot,0.6785919136102377,-133.9956969709687,-87.05247316404457,-6.078564410091142,1758.8677593497077
CoRoT-8 b,CoRoT-8,6.39,69.92,1.6,0.063,6.21229,0.88,5080.0,0.77,-0.4512750542014754,0.0,322.037,38.21286,-7.10426,Neptune-like,0.45904372524152004,1.1213909107633802,0.6044269094884227,1.0783094613823891,Too_hot,0.5414269094884228,251.08771275791523,197.67781763089803,-39.82800883403608,89.13409244390408
CoRoT-9 b,CoRoT-9,11.948794,266.9772,0.86,0.4021,95.272656,0.96,5625.0,0.96,-0.08267878046937906,0.133,412.98,37.52335,4.66217,Gas-giant,0.6866630890606147,1.6343013904063646,0.8953971125139,1.5715320666406352,Too_hot,0.49329711251389996,326.45284850117486,250.70752101113092,33.56720146098434,5.112732528808197
EPIC 201595106 b,EPIC 201595106,1.565,7.67,11.1,0.0177,0.87724,0.958,5679.0,0.98,-0.04915,0.0,232.1,282.19917,63.35883,Super-Earth,0.7121315773085336,1.6906772772683445,0.9275305588201241,1.6257443286290585,Too_hot,0.9098305588201241,21.9919392261627,-101.72388165663033,207.45846936141373,2850.384628382732
EPIC 220674823 b,EPIC 220674823,1.676,7.8,9.09,0.01314,0.5713127,0.913,5578.0,0.99,-0.0705269247668922,0.0,244.59,123.28442,-52.07644,Super-Earth,0.6976607336467898,1.6641270812121254,0.9106349113155421,1.6002108150403103,Too_hot,0.897494911315542,-82.49898586836413,125.66715771158889,-192.9402780742842,4923.595258537305
EPIC 220674823 c,EPIC 220674823,2.84,7.32,1.72,0.1073,13.33989,0.913,5578.0,0.99,-0.0705269247668922,0.17,244.59,123.28442,-52.07644,Mini-Neptune,0.6976607336467898,1.6641270812121254,0.9106349113155421,1.6002108150403103,Too_hot,0.8033349113155421,-82.49898586836413,125.66715771158889,-192.9402780742842,73.83693000879398
EPIC 229004835 b,EPIC 229004835,2.332,10.4,4.49,0.1237,16.141132,0.97,5868.0,0.999,0.025380043454828746,0.23,121.971,289.77763,60.81426,Mega-Earth,0.7700456429989254,1.812532386187224,0.9986887808471266,1.7429253120863586,Too_hot,0.8749887808471266,20.125681062765317,-55.96978441060027,106.48598516138533,69.28522700126597
EPIC 248847494 b,EPIC 248847494,12.44199,4131.79,11.828657532344897,4.5,3650.0,0.9,4898.0,2.7,0.5750912977906397,0.0,551.886,232.28858,55.10278,Mega-Earth,1.506730406180409,3.713352755091856,1.988416668659081,3.5706798619799995,Too_cold,0.9293201380200005,-193.13170742261977,-249.7803206487674,452.6456583251655,0.1856377390039523
EPIC 249893012 b,EPIC 249893012,1.95,8.75,6.39,0.047,3.5951,1.05,5430.0,1.71,0.35748018545757915,0.06,321.296,345.11043,34.30816,Super-Earth,1.1487788205908114,2.7594180551616914,1.503879779566232,2.6534259731392815,Too_hot,1.456879779566232,256.48504339773245,-68.19540017008637,181.0964646946623,1031.0612603371676
EPIC 249893012 c,EPIC 249893012,3.67,14.67,1.62,0.13,15.624,1.05,5430.0,1.71,0.35748018545757915,0.07,321.296,345.11043,34.30816,Neptune-like,1.1487788205908114,2.7594180551616914,1.503879779566232,2.6534259731392815,Too_hot,1.373879779566232,256.48504339773245,-68.19540017008637,181.0964646946623,134.7700783482132
EPIC 249893012 d,EPIC 249893012,3.94,10.18,0.91,0.22,35.747,1.05,5430.0,1.71,0.35748018545757915,0.15,321.296,345.11043,34.30816,Gas-giant,1.1487788205908114,2.7594180551616914,1.503879779566232,2.6534259731392815,Too_hot,1.283879779566232,256.48504339773245,-68.19540017008637,181.0964646946623,47.05814719183478
G 9-40 b,G 9-40,1.9,4.0,3.2,0.0418,5.7459982,0.2952,3395.0,0.3026,-1.96019,0.0,27.9276,206.06509,37.03563,Super-Earth,0.08502920047945225,0.22399576824154888,0.11209992951808471,0.2153826723447975,Too_hot,0.07029992951808473,-20.026165132883083,-9.795591345128548,16.82111595672953,6.272742162116728
GJ 1132 b,GJ 1132,1.19151465,1.83704819,5.97,0.0157,1.62892911,0.1945,3229.0,0.2211,-2.32148,0.0118,12.613,277.25461,7.75911,Super-Earth,0.056280279489300776,0.14923495519793165,0.07409918778337306,0.14349612615256377,Too_hot,0.05839918778337306,1.5781717648741886,-12.397475719455343,1.7028619045797833,19.351770066014918
GJ 1214 b,GJ 1214,2.733,8.41,2.26,0.01505,1.580404531,0.182,3101.0,0.2162,-2.40894,0.0062,14.6427,26.16217,23.60704,Icy-Solid,0.051009678890924455,0.135941229723054,0.06709543236569136,0.1307133133272802,Too_hot,0.05204543236569136,12.042697066568216,5.9158683108261,5.86383942326466,17.21817034577689
GJ 1252 b,GJ 1252,1.193,1.32,4.2,0.009153864034141895,0.5182331,0.381,3458.0,0.391,-1.70774,0.0,20.373,341.21724,-35.49343,Super-Earth,0.11355767731075979,0.2984008451577617,0.14978734320825837,0.28692706481739016,Too_hot,0.14063347917411648,15.703993244766558,-5.340803054197542,-11.82875935610327,233.91123676721375
GJ 143 b,GJ 143,2.61,22.7,7.0,0.1915,35.61253,0.73,4640.0,0.695,-0.6862,0.188,16.32,279.23027,-45.82079,Mega-Earth,0.3559938538861121,0.8882826538968184,0.4708553807738126,0.854148648019504,Too_hot,0.2793553807738126,1.8243380168205972,-11.226220554609403,-11.7041088024526,5.6164570665758555
